V_vs_Li,Q_mAh
0.103492,0.127849
0.103495,0.127975
0.103505,0.128101
0.103503,0.128227
0.103509,0.128353
0.103487,0.128479
0.103491,0.128604
0.103492,0.12873
0.103474,0.128856
0.103469,0.128982
0.103486,0.129108
0.103483,0.129234
0.103469,0.129359
0.103484,0.129485
0.103486,0.129611
0.103474,0.129737
0.103478,0.129863
0.103483,0.129989
0.103483,0.130114
0.103475,0.13024
0.10348,0.130366
0.10347,0.130492
0.103472,0.130618
0.103474,0.130744
0.10348,0.130869
0.103474,0.130995
0.103483,0.131121
0.103479,0.131247
0.103464,0.131373
0.103471,0.131499
0.103463,0.131624
0.103463,0.13175
0.103473,0.131876
0.103463,0.132002
0.103476,0.132128
0.103467,0.132254
0.103461,0.13238
0.10346,0.132505
0.10346,0.132631
0.103467,0.132757
0.103471,0.132883
0.10346,0.133009
0.103469,0.133134
0.10346,0.13326
0.10347,0.133386
0.103469,0.133512
0.103457,0.133638
0.103454,0.133764
0.10346,0.133889
0.103454,0.134015
0.103461,0.134141
0.10346,0.134267
0.103452,0.134393
0.103457,0.134519
0.103455,0.134645
0.10346,0.13477
0.103447,0.134896
0.103459,0.135022
0.103462,0.135148
0.10345,0.135274
0.103452,0.1354
0.103461,0.135525
0.10346,0.135651
0.103453,0.135777
0.103453,0.135903
0.103449,0.136029
0.103448,0.136155
0.103453,0.13628
0.103451,0.136406
0.103449,0.136532
0.103454,0.136658
0.103456,0.136784
0.103452,0.13691
0.103452,0.137035
0.103467,0.137161
0.103463,0.137287
0.103457,0.137413
0.103451,0.137539
0.103452,0.137665
0.103453,0.13779
0.103457,0.137916
0.103456,0.138042
0.103462,0.138168
0.103449,0.138294
0.103461,0.13842
0.103455,0.138545
0.103452,0.138671
0.103458,0.138797
0.103449,0.138923
0.103443,0.139049
0.103455,0.139175
0.103455,0.1393
0.103459,0.139426
0.103449,0.139552
0.103453,0.139678
0.103448,0.139804
0.103448,0.13993
0.103437,0.140055
0.103429,0.140181
0.103425,0.140307
0.103426,0.140433
0.103428,0.140559
0.10343,0.140685
0.103426,0.14081
0.10344,0.140936
0.103433,0.141062
0.103433,0.141188
0.10342,0.141314
0.10342,0.14144
0.103421,0.141566
0.103436,0.141691
0.103432,0.141817
0.103426,0.141943
0.103423,0.142069
0.103417,0.142195
0.103425,0.142321
0.103416,0.142446
0.103417,0.142572
0.103418,0.142698
0.103433,0.142824
0.103441,0.14295
0.103427,0.143076
0.103436,0.143201
0.103435,0.143327
0.103436,0.143453
0.103429,0.143579
0.103427,0.143705
0.103438,0.143831
0.10344,0.143957
0.10342,0.144082
0.103438,0.144208
0.103441,0.144334
0.103432,0.14446
0.103433,0.144586
0.103437,0.144711
0.103435,0.144837
0.103435,0.144963
0.103434,0.145089
0.103435,0.145215
0.103432,0.145341
0.103434,0.145466
0.103434,0.145592
0.103439,0.145718
0.103429,0.145844
0.103443,0.14597
0.103438,0.146096
0.103427,0.146222
0.103429,0.146347
0.103417,0.146473
0.103438,0.146599
0.103438,0.146725
0.103435,0.146851
0.103426,0.146976
0.103414,0.147102
0.103412,0.147228
0.103423,0.147354
0.103425,0.14748
0.103418,0.147606
0.10342,0.147732
0.103425,0.147857
0.103423,0.147983
0.103417,0.148109
0.103403,0.148235
0.103414,0.148361
0.103416,0.148487
0.103413,0.148612
0.103411,0.148738
0.103415,0.148864
0.103412,0.14899
0.103406,0.149116
0.103416,0.149242
0.103418,0.149367
0.103409,0.149493
0.10341,0.149619
0.103414,0.149745
0.103411,0.149871
0.103412,0.149997
0.103414,0.150122
0.103406,0.150248
0.10341,0.150374
0.103405,0.1505
0.103413,0.150626
0.103415,0.150752
0.103406,0.150877
0.103409,0.151003
0.103417,0.151129
0.103414,0.151255
0.103408,0.151381
0.103409,0.151507
0.103418,0.151633
0.103406,0.151758
0.103406,0.151884
0.103404,0.15201
0.103403,0.152136
0.103404,0.152262
0.103402,0.152387
0.103398,0.152513
0.103407,0.152639
0.103401,0.152765
0.103404,0.152891
0.103402,0.153017
0.103401,0.153143
0.103407,0.153268
0.103405,0.153394
0.103407,0.15352
0.103409,0.153646
0.103407,0.153772
0.103403,0.153898
0.103398,0.154023
0.103401,0.154149
0.103409,0.154275
0.103406,0.154401
0.103395,0.154527
0.103403,0.154653
0.103394,0.154778
0.103397,0.154904
0.103399,0.15503
0.103409,0.155156
0.103395,0.155282
0.103389,0.155408
0.103398,0.155534
0.103396,0.155659
0.103403,0.155785
0.103396,0.155911
0.103392,0.156037
0.103397,0.156163
0.103392,0.156288
0.103387,0.156414
0.1034,0.15654
0.103388,0.156666
0.103391,0.156792
0.103391,0.156918
0.103391,0.157043
0.103393,0.157169
0.103383,0.157295
0.103393,0.157421
0.103386,0.157547
0.103386,0.157673
0.103392,0.157799
0.103386,0.157924
0.103396,0.15805
0.103389,0.158176
0.103386,0.158302
0.10339,0.158428
0.103389,0.158554
0.103384,0.158679
0.10339,0.158805
0.103389,0.158931
0.10339,0.159057
0.103387,0.159183
0.103385,0.159309
0.103391,0.159434
0.103401,0.15956
0.103403,0.159686
0.103397,0.159812
0.103395,0.159938
0.103384,0.160064
0.103403,0.160189
0.103385,0.160315
0.1034,0.160441
0.103394,0.160567
0.10339,0.160693
0.103395,0.160819
0.103399,0.160944
0.103398,0.16107
0.103397,0.161196
0.103399,0.161322
0.103394,0.161448
0.103392,0.161574
0.103395,0.161699
0.103389,0.161825
0.103395,0.161951
0.103387,0.162077
0.103392,0.162203
0.103377,0.162329
0.103374,0.162455
0.103386,0.16258
0.103373,0.162706
0.10338,0.162832
0.103381,0.162958
0.103364,0.163084
0.103378,0.16321
0.103375,0.163335
0.103378,0.163461
0.103372,0.163587
0.103381,0.163713
0.103369,0.163839
0.103372,0.163965
0.103364,0.16409
0.103384,0.164216
0.10337,0.164342
0.103372,0.164468
0.103363,0.164594
0.103363,0.16472
0.10337,0.164845
0.103374,0.164971
0.103361,0.165097
0.103362,0.165223
0.103363,0.165349
0.103356,0.165475
0.103366,0.1656
0.103361,0.165726
0.103359,0.165852
